GET-BINARY-DATA	0	0
GET-BLUE-VALUE	0	0
GET-BROWSE-COLUMN	0	28
GET-CALLBACK-PROC-CONTEXT	0	0
GET-CALLBACK-PROC-NAME	0	0
GET-CGI-LIST	0	0
GET-CGI-LONG-VALUE	0	0
GET-CGI-VALUE	0	0
GET-CONFIG-VALUE	0	0
GET-CURRENT	0	0
GET-DOUBLE	0	0
GET-DROPPED-FILE	0	0
GET-DYNAMIC	0	0
GET-FILE	0	0
GET-FIRST	0	51
GET-FLOAT	0	0
GET-GREEN-VALUE	0	0
GET-INDEX-BY-NAMESPACE-NAME	0	0
GET-INDEX-BY-QNAME	0	0
GET-INT64	0	0
GET-ITERATION	0	0
GET-LAST	0	7
GET-LOCALNAME-BY-INDEX	0	0
GET-LONG	0	0
GET-MESSAGE	0	1674
GET-NEXT	0	81
GET-NUMBER	0	1490
GET-POINTER-VALUE	0	0
GET-PREV	0	4
GET-PRINTERS	0	0
GET-PROPERTY	0	0
GET-QNAME-BY-INDEX	0	0
GET-RED-VALUE	0	0
GET-REPOSITIONED-ROW	0	5
GET-RGB-VALUE	0	0
GET-SELECTED-WIDGET	0	0
GET-SHORT	0	0
GET-SIGNATURE	0	7
GET-SIZE	0	0
GET-STRING	0	0
GET-TAB-ITEM	0	0
GET-TEXT-HEIGHT-CHARS	0	0
GET-TEXT-HEIGHT-PIXELS	0	0
GET-TEXT-WIDTH-CHARS	0	0
GET-TEXT-WIDTH-PIXELS	0	0
GET-TYPE-BY-INDEX	0	0
GET-TYPE-BY-NAMESPACE-NAME	0	0
GET-TYPE-BY-QNAME	0	0
GET-UNSIGNED-LONG	0	0
GET-UNSIGNED-SHORT	0	0
GET-URI-BY-INDEX	0	0
GET-VALUE-BY-INDEX	0	0
GET-VALUE-BY-NAMESPACE-NAME	0	0
GET-VALUE-BY-QNAME	0	0
GET-WAIT-STATE	0	0
GRID-FACTOR-HORIZONTAL	0	0
GRID-FACTOR-VERTICAL	0	0
GRID-SNAP	0	0
GRID-UNIT-HEIGHT-CHARS	0	0
GRID-UNIT-HEIGHT-PIXELS	0	0
GRID-UNIT-WIDTH-CHARS	0	0
GRID-UNIT-WIDTH-PIXELS	0	0
GRID-VISIBLE	0	0
GT	0	0
GUID	0	0
HANDLE	0	10568
HANDLER	0	0
HAS-RECORDS	0	2
HEIGHT-CHARS	0	2
HEIGHT-PIXELS	0	101
HEX-DECODE	0	0
HEX-ENCODE	0	0
HIDDEN	0	8061
HORIZONTAL	0	161
HTML-CHARSET	0	0
HTML-END-OF-LINE	0	0
HTML-END-OF-PAGE	0	0
HTML-FRAME-BEGIN	0	0
HTML-FRAME-END	0	0
HTML-HEADER-BEGIN	0	0
HTML-HEADER-END	0	0
HTML-TITLE-BEGIN	0	0
HTML-TITLE-END	0	0
HWND	0	0
ICON	0	12
IMAGE	0	1269
IMAGE-DOWN	0	0
IMAGE-INSENSITIVE	0	968
IMAGE-SIZE	0	0
IMAGE-SIZE-CHARS	0	0
IMAGE-SIZE-PIXELS	0	0
IMAGE-UP	0	968
IMMEDIATE-DISPLAY	0	8
IMPLEMENTS	0	0
IMPORT-PRINCIPAL	0	0
INCREMENT-EXCLUSIVE-ID	0	0
INDEXED-REPOSITION	0	889
INDEX-HINT	0	0
INDEX-INFORMATION	0	8
INFORMATION	0	2703
IN-HANDLE	0	0
INHERIT-BGCOLOR	0	0
INHERIT-FGCOLOR	0	0
INHERITS	0	0
INITIAL	0	11283
INITIAL-DIR	0	0
INITIAL-FILTER	0	0
INITIALIZE-DOCUMENT-TYPE	0	0
INITIATE	0	0
INNER-CHARS	0	0
INNER-LINES	0	852
INPUT-VALUE	0	432
INSERT-ATTRIBUTE	0	0
INSERT-BACKTAB	0	0
INSERT-ROW	0	0
INSERT-STRING	0	20
INSERT-TAB	0	0
INT	0	3217
INT64	0	0
INTEGER	0	16973
INTERFACE	0	2808
INTERNAL-ENTRIES	0	0
INVOKE	0	0
IS-CLASS	0	0
IS-JSON	0	0
IS-OPEN	0	4
IS-PARAMETER-SET	0	0
IS-ROW-SELECTED	0	7
IS-SELECTED	0	0
IS-XML	0	0
ITEM	0	16
ITEMS-PER-ROW	0	35
JOIN-BY-SQLDB	0	0
KEEP-CONNECTION-OPEN	0	0
KEEP-FRAME-Z-ORDER	0	518
KEEP-SECURITY-CACHE	0	0
KEEP-TAB-ORDER	0	773
KEY	0	434
KEYWORD-ALL	0	0
LABEL-BGCOLOR	0	0
LABEL-DCOLOR	0	0
LABEL-FGCOLOR	0	57
LABEL-FONT	0	0
LABEL-PFCOLOR	0	0
LABELS	0	12
LANDSCAPE	0	2
LANGUAGES	0	0
LARGE	0	10
LARGE-TO-SMALL	0	0
LAST-ASYNCH-REQUEST	0	0
LAST-BATCH	0	0
LAST-CHILD	0	0
LAST-FORM	0	0
LAST-OBJECT	0	0
LAST-PROCEDURE	0	0
LAST-SERVER	0	0
LAST-TAB-ITEM	0	0
