CACHE-SIZE	Option	0	0
CALL	Statement	1	1
CALL-NAME	Attribute	0	1
CALL-TYPE	Attribute	0	0
CallStack	Property	0	0
CAN-CREATE	Attribute	0	0
CAN-DELETE	Attribute	0	0
CAN-DO	Function	1	1
CAN-FIND	Function	1	9
CAN-QUERY	Function	0	1
CAN-READ	Attribute	0	0
CAN-SET	Function	0	0
CAN-WRITE	Attribute	0	0
CANCEL-BREAK	Method	0	0
CANCEL-BUTTON	Attribute	0	1
CANCEL-REQUESTS	Method	0	0
CANCEL-REQUESTS-AFTER	Method	0	0
CancelCreateRow	Event	0	0
CANCELLED	Attribute	0	0
CAPS	Function	0	3
CAREFUL-PAINT	Attribute	0	0
CASE	Statement	1	11
CASE-SEN	Abbreviation	0	0
CASE-SENSITIVE	Attribute	1	0
CAST	Function	1	0
CATCH	Statement	0	1
CDECL	Option	0	1
CENTER	Abbreviation	0	0
CENTERED	Attribute	1	1
CHAINED	Option	0	0
CHAR	Abbreviation	0	0
CHARACTER	Type	0	116
CHARACTER_LENGTH	Option	0	0
CHARSET	Attribute	0	1
CHECK	Option	1	1
CHECKED	Attribute	0	4
CHILD-BUFFER	Attribute	0	0
CHILD-NUM	Attribute	0	0
ChildAllowEdit	Property	0	0
ChildAllowNew	Property	0	0
ChildAllowRemove	Property	0	0
ChildInputValue	Property	0	0
Choices	Property	0	0
CHOOSE	Statement	0	23
CHR	Function	1	9
CLASS	Statement	0	1
CLASS-TYPE	Attribute	0	0
Clear	Method	0	0
CLEAR	Statement	1	1
CLEAR-APPL-CONTEXT	Method	0	0
CLEAR-LOG	Method	0	0
CLEAR-SELECT	Abbreviation	0	0
CLEAR-SELECTION	Method	0	0
CLEAR-SORT-ARROW	Abbreviation	0	0
CLEAR-SORT-ARROWS	Method	0	0
CLIENT-CONNECTION-ID	Attribute	0	0
CLIENT-PRINCIPAL	Option	0	0
CLIENT-TTY	Attribute	0	0
CLIENT-TYPE	Attribute	0	1
CLIENT-WORKSTATION	Attribute	0	0
ClientContextId	Property	0	0
CLIPBOARD	Handle	1	2
CLOB	Type	0	0
Clone	Method	0	0
CLONE-NODE	Method	0	0
CLOSE	Option	0	19
CLOSE-LOG	Method	0	0
CODE	Attribute	0	25
CODEBASE-LOCATOR	Handle	1	0
CODEPAGE	Attribute	0	1
